playlist_id,track_id,added_at,popularity
37i9dQZF1DXcBWIGoYBM5M,210JJAa9nJOgNa0YNrsT5g,2023-10-20T04:00:00Z,87
37i9dQZF1DX0XUsuxWHRQd,1X1dy95bo2OirAmMkBIwkS,2023-10-20T04:00:00Z,0
37i9dQZF1DX0XUsuxWHRQd,7aqfrAY2p9BUSiupwk3svU,2023-10-20T04:00:00Z,91
37i9dQZF1DX0XUsuxWHRQd,2Gk6fi0dqt91NKvlzGsmm7,2023-10-20T04:00:00Z,82
37i9dQZF1DX0XUsuxWHRQd,4367dXCt02KMgELPisJ2D4,2023-10-20T04:00:00Z,81
37i9dQZF1DX0XUsuxWHRQd,6wsqVwoiVH2kde4k4KKAFU,2023-10-20T04:00:00Z,93
37i9dQZF1DX0XUsuxWHRQd,2YSzYUF3jWqb9YP9VXmpjE,2023-10-20T04:00:00Z,92
37i9dQZF1DX0XUsuxWHRQd,6N7TGPYfGP2oxiy9Cpaz9G,2023-10-20T04:00:00Z,25
37i9dQZF1DX0XUsuxWHRQd,4rXLjWdF2ZZpXCVTfWcshS,2023-10-20T04:00:00Z,96
37i9dQZF1DX0XUsuxWHRQd,7AtQxohgEu5dRYdcY4gB6G,2023-10-20T04:00:00Z,75
37i9dQZF1DX0XUsuxWHRQd,4T9246CX4qYIaUxVFALOpQ,2023-10-20T04:00:00Z,43
37i9dQZF1DX0XUsuxWHRQd,7LTCmtMpf3JPfBE8gAl64z,2023-10-20T04:00:00Z,78
37i9dQZF1DX0XUsuxWHRQd,2Ge2ZhznMuO22wIQ9Z5Wql,2023-10-20T04:00:00Z,68
37i9dQZF1DX0XUsuxWHRQd,1xWkeSPhf3bZqHY7Ncz8vp,2023-10-20T04:00:00Z,84
37i9dQZF1DX0XUsuxWHRQd,6xVdq7lcNHpELteLBfrkY2,2023-10-20T04:00:00Z,0
37i9dQZF1DX0XUsuxWHRQd,1i9lZvlaDdWDPyXEE95aiq,2023-10-20T04:00:00Z,90
37i9dQZF1DX0XUsuxWHRQd,2IGMVunIBsBLtEQyoI1Mu7,2023-10-20T04:00:00Z,100
37i9dQZF1DX0XUsuxWHRQd,7gwEKj4xXm9iRqxGhHxSI4,2023-10-20T04:00:00Z,0
37i9dQZF1DX0XUsuxWHRQd,2nibvvDdAQkVraYP00z2RS,2023-10-20T04:00:00Z,85
37i9dQZF1DX0XUsuxWHRQd,2c7sRekhMGlj7u1WIIzoQu,2023-10-20T04:00:00Z,77
37i9dQZF1DX0XUsuxWHRQd,3h4HlcmWdexWJ6SSyZG67E,2023-10-20T04:00:00Z,74
37i9dQZF1DX0XUsuxWHRQd,3kfhS2L56Wj8fBcu7xE47H,2023-10-20T04:00:00Z,81
37i9dQZF1DX0XUsuxWHRQd,6Qc90FMwNUjJ2M893RdYUg,2023-10-20T04:00:00Z,76
37i9dQZF1DX0XUsuxWHRQd,6GeNWEE6sxYf5hMO93gw42,2023-10-20T04:00:00Z,34
37i9dQZF1DX0XUsuxWHRQd,0zbGWzQkLY5wn4xyiLYEi0,2023-10-20T04:00:00Z,65
37i9dQZF1DX0XUsuxWHRQd,3CUMd8XMv3LBSLrDrKoXQE,2023-10-20T04:00:00Z,69
37i9dQZF1DX0XUsuxWHRQd,2hkcNrUwTVwKqjfUO1Kx3d,2023-10-20T04:00:00Z,76
37i9dQZF1DX0XUsuxWHRQd,7icwQvajsokotDfM3tefW6,2023-10-20T04:00:00Z,81
37i9dQZF1DX0XUsuxWHRQd,67nepsnrcZkowTxMWigSbb,2023-10-20T04:00:00Z,91
37i9dQZF1DX0XUsuxWHRQd,02K2VtGdUG5fUlAQATEgE6,2023-10-20T04:00:00Z,74
37i9dQZF1DX0XUsuxWHRQd,2eLrDMQnosvAOTzoZ8bRZZ,2023-10-20T04:00:00Z,67
37i9dQZF1DX0XUsuxWHRQd,166lmjn9xjWj1AEdGX8PYh,2023-10-20T04:00:00Z,77
37i9dQZF1DX0XUsuxWHRQd,2XkuWK1lXOPkxdWdM78Q0l,2023-10-20T04:00:00Z,67
